QueryId,DocumentId
19945,15
19945,16
19945,3
19945,5
19945,4
19945,11
19945,9
19945,8
19945,7
19945,2
19945,12
19945,1
19945,14
19945,6
19945,18
19945,13
19945,10
19945,17
19946,28
19946,27
19946,31
19946,26
19946,29
19946,34
19946,35
19946,19
19946,36
19946,33
19946,32
19946,37
19946,22
19946,23
19946,21
19946,24
19946,25
19946,20
19946,30
19947,44
19947,47
19947,48
19947,40
19947,41
19947,38
19947,39
19947,45
19947,49
19947,46
19947,43
19947,42
19948,71
19948,66
19948,58
19948,59
19948,69
19948,57
19948,50
19948,68
19948,64
19948,60
19948,61
19948,53
19948,67
19948,51
19948,62
19948,54
19948,52
19948,56
19948,63
19948,70
19948,55
19948,65
19949,81
19949,82
19949,75
19949,86
19949,73
19949,78
19949,83
19949,74
19949,72
19949,89
19949,80
19949,87
19949,79
19949,77
19949,85
19949,88
19949,84
19949,76
19950,93
19950,102
19950,106
19950,107
19950,100
19950,101
19950,91
19950,90
19950,99
19950,96
19950,94
19950,97
19950,98
19950,92
19950,104
19950,95
19950,103
19950,105
19951,117
19951,116
19951,119
19951,114
19951,111
19951,118
19951,109
19951,112
19951,115
19951,121
19951,110
19951,123
19951,108
19951,122
19951,113
19951,120
19952,126
19952,128
19952,135
19952,130
19952,124
19952,132
19952,136
19952,134
19952,129
19952,127
19952,133
19952,131
19952,125
19952,137
19953,142
19953,140
19953,139
19953,143
19953,146
19953,149
19953,141
19953,138
19953,144
19953,148
19953,145
19953,147
19954,151
19954,155
19954,150
19954,153
19954,159
19954,156
19954,158
19954,152
19954,154
19954,157
19955,175
19955,171
19955,165
19955,161
19955,162
19955,169
19955,166
19955,173
19955,167
19955,172
19955,160
19955,164
19955,170
19955,174
19955,163
19955,168
19956,190
19956,182
19956,189
19956,192
19956,183
19956,188
19956,185
19956,191
19956,181
19956,176
19956,179
19956,180
19956,178
19956,177
19956,187
19956,184
19956,186
19957,199
19957,193
19957,200
19957,195
19957,197
19957,194
19957,196
19957,198
19957,201
19958,215
19958,208
19958,209
19958,202
19958,203
19958,214
19958,217
19958,211
19958,204
19958,205
19958,218
19958,216
19958,206
19958,207
19958,213
19958,210
19958,212
19959,222
19959,226
19959,221
19959,231
19959,223
19959,228
19959,224
19959,225
19959,229
19959,220
19959,219
19959,227
19959,230
19960,245
19960,236
19960,243
19960,246
19960,238
19960,233
19960,240
19960,234
19960,235
19960,244
19960,232
19960,242
19960,241
19960,239
19960,237
19961,251
19961,253
19961,252
19961,248
19961,250
19961,254
19961,247
19961,249
19962,256
19962,265
19962,257
19962,260
19962,264
19962,261
19962,258
19962,269
19962,263
19962,255
19962,259
19962,262
19962,268
19962,266
19962,267
19963,283
19963,272
19963,271
19963,277
19963,279
19963,276
19963,280
19963,275
19963,278
19963,274
19963,270
19963,282
19963,273
19963,281
19963,284
19964,289
19964,293
19964,288
19964,285
19964,290
19964,286
19964,297
19964,295
19964,296
19964,294
19964,298
19964,299
19964,292
19964,287
19964,291
19965,303
19965,313
19965,310
19965,311
19965,306
19965,307
19965,308
19965,314
19965,309
19965,312
19965,301
19965,305
19965,304
19965,302
19965,300
19966,319
19966,323
19966,318
19966,320
19966,317
19966,326
19966,321
19966,322
19966,315
19966,325
19966,327
19966,324
19966,316
19967,338
19967,337
19967,334
19967,335
19967,328
19967,339
19967,331
19967,330
19967,329
19967,333
19967,340
19967,332
19967,336
19968,345
19968,348
19968,347
19968,341
19968,349
19968,350
19968,344
19968,343
19968,342
19968,346
19969,355
19969,359
19969,351
19969,357
19969,358
19969,362
19969,363
19969,352
19969,356
19969,354
19969,361
19969,353
19969,360
19970,366
19970,374
19970,373
19970,372
19970,376
19970,369
19970,375
19970,365
19970,364
19970,367
19970,377
19970,371
19970,368
19970,370
19971,379
19971,378
19972,388
19972,387
19972,380
19972,389
19972,383
19972,381
19972,386
19972,390
19972,382
19972,385
19972,391
19972,392
19972,384
19973,406
19973,405
19973,402
19973,407
19973,393
19973,398
19973,404
19973,399
19973,394
19973,400
19973,395
19973,397
19973,401
19973,403
19973,396
19974,413
19974,415
19974,411
19974,420
19974,410
19974,412
19974,409
19974,422
19974,424
19974,423
19974,408
19974,416
19974,414
19974,419
19974,417
19974,425
19974,421
19974,418
19975,435
19975,431
19975,427
19975,428
19975,433
19975,430
19975,432
19975,434
19975,437
19975,426
19975,436
19975,429
19976,452
19976,443
19976,453
19976,439
19976,442
19976,448
19976,449
19976,447
19976,438
19976,450
19976,444
19976,440
